Codigo distrito;Nombre distrito;Fecha datos;Indice de Vulnerabilidad Territorial Agregado;Indice de Vulnerabilidad Territorial Agregado - media ciudad;Índice de Vulnerabilidad Bienestar Social e Igualdad;Índice de Vulnerabilidad Bienestar Social e Igualdad - media ciudad;Índice de Vulnerabilidad Medio Ambiente Urbano y Movilidad;Índice de Vulnerabilidad Medio Ambiente Urbano y Movilidad - media ciudad;Índice de Vulnerabilidad Educación y Cultura;Índice de Vulnerabilidad Educación y Cultura - media ciudad;Índice de Vulnerabilidad Economía y Empleo;Índice de Vulnerabilidad Economía y Empleo - media ciudad;Índice de Vulnerabilidad Salud;Índice de Vulnerabilidad Salud - media ciudad
1;Centro;2020;5,53;4,85;5,98;4,76;7,25;4,78;3,79;4,93;4,62;5,02;6,25;4,73
2;Arganzuela;2020;3,84;4,85;4,28;4,76;4,02;4,78;3,04;4,93;3,49;5,02;4,3;4,73
3;Retiro;2020;3,85;4,85;4,11;4,76;5,13;4,78;2,32;4,93;3,41;5,02;4,36;4,73
4;Salamanca;2020;4,24;4,85;4,62;4,76;6,41;4,78;3,49;4,93;2,92;5,02;4,21;4,73
5;Chamartín;2020;4,27;4,85;4,36;4,76;5,9;4,78;3,5;4,93;3,54;5,02;4,35;4,73
6;Tetuán;2020;5,34;4,85;4,53;4,76;6,67;4,78;6,84;4,93;4,94;5,02;4,3;4,73
7;Chamberí;2020;5,3;4,85;4,25;4,76;10,08;4,78;3,95;4,93;3,64;5,02;5,92;4,73
8;Fuencarral - El Pardo;2020;4,15;4,85;3,91;4,76;3,5;4,78;3,82;4,93;4,7;5,02;4,69;4,73
9;Moncloa - Aravaca;2020;3,79;4,85;3,97;4,76;3,67;4,78;3,14;4,93;3,04;5,02;5,38;4,73
10;Latina;2020;5,01;4,85;4,5;4,76;4,38;4,78;5,75;4,93;5,94;5,02;4,26;4,73
11;Carabanchel;2020;5,74;4,85;5,51;4,76;4,18;4,78;6,88;4,93;7,17;5,02;4,36;4,73
12;Usera;2020;5,73;4,85;5,16;4,76;3,54;4,78;6,99;4,93;6,43;5,02;6,46;4,73
13;Puente de Vallecas;2020;5,91;4,85;6,39;4,76;3,65;4,78;6,73;4,93;6,91;5,02;5,12;4,73
14;Moratalaz;2020;4,63;4,85;5,27;4,76;2,84;4,78;5,24;4,93;5,1;5,02;4,14;4,73
15;Ciudad Lineal;2020;4,77;4,85;4,26;4,76;5,44;4,78;3,85;4,93;5,86;5,02;4,16;4,73
16;Hortaleza;2020;4,11;4,85;3,85;4,76;4,99;4,78;3,81;4,93;3,73;5,02;4,47;4,73
17;Villaverde;2020;5,66;4,85;4,87;4,76;4,03;4,78;7,24;4,93;6,87;5,02;5,05;4,73
18;Villa de Vallecas;2020;5,32;4,85;5,87;4,76;3,9;4,78;6,89;4,93;5,16;5,02;4,59;4,73
19;Vicálvaro;2020;4,57;4,85;5,17;4,76;3,35;4,78;4,91;4,93;4,74;5,02;4,28;4,73
20;San Blas - Canillejas;2020;4,57;4,85;4,36;4,76;3,94;4,78;5,16;4,93;4,93;5,02;4,39;4,73
21;Barajas;2020;3,73;4,85;4,76;4,76;3,13;4,78;2,65;4,93;2,93;5,02;5,05;4,73
1;Centro;2021;5,57;4,83;6,56;4,78;6,01;4,78;3,4;4,95;5,22;4,92;6,36;4,7
2;Arganzuela;2021;3,81;4,83;4,17;4,78;4,25;4,78;3,09;4,95;3,43;4,92;4,12;4,7
3;Retiro;2021;3,82;4,83;4,19;4,78;5;4,78;2,57;4,95;2,85;4,92;4,82;4,7
4;Salamanca;2021;4,24;4,83;4,42;4,78;6,49;4,78;3,35;4,95;3,21;4,92;4,14;4,7
5;Chamartín;2021;3,89;4,83;3,93;4,78;5,7;4,78;3,04;4,95;2,84;4,92;4,42;4,7
6;Tetuán;2021;5,24;4,83;4,48;4,78;6,15;4,78;6,07;4,95;5,27;4,92;4,58;4,7
7;Chamberí;2021;5,56;4,83;4,46;4,78;11,54;4,78;4,23;4,95;3,1;4,92;6,25;4,7
8;Fuencarral - El Pardo;2021;3,8;4,83;4,29;4,78;3,51;4,78;3,41;4,95;3,23;4,92;4,61;4,7
9;Moncloa - Aravaca;2021;3,78;4,83;3,99;4,78;3,53;4,78;3;4,95;3,22;4,92;5,31;4,7
10;Latina;2021;4,78;4,83;4,46;4,78;3,95;4,78;5,56;4,95;5,49;4,92;4,28;4,7
11;Carabanchel;2021;5,84;4,83;5,55;4,78;5,27;4,78;7,23;4,95;6,7;4,92;4,15;4,7
12;Usera;2021;5,97;4,83;5,21;4,78;3,59;4,78;7,59;4,95;7,74;4,92;5,24;4,7
13;Puente de Vallecas;2021;6,28;4,83;6,68;4,78;3,51;4,78;7,6;4,95;7,83;4,92;4,79;4,7
14;Moratalaz;2021;4,81;4,83;5,63;4,78;2,83;4,78;5,81;4,95;5,01;4,92;4,28;4,7
15;Ciudad Lineal;2021;4,42;4,83;4,22;4,78;4,98;4,78;4,06;4,95;4,52;4,92;4,36;4,7
16;Hortaleza;2021;4,04;4,83;3,64;4,78;4,74;4,78;3,79;4,95;3,56;4,92;4,92;4,7
17;Villaverde;2021;5,66;4,83;4,86;4,78;3,98;4,78;6,88;4,95;7,39;4,92;4,7;4,7
18;Villa de Vallecas;2021;5,44;4,83;5,62;4,78;4,17;4,78;6,53;4,95;6,01;4,92;4,5;4,7
19;Vicálvaro;2021;4,92;4,83;4,96;4,78;3,56;4,78;5,86;4,95;5,32;4,92;4,7;4,7
20;San Blas - Canillejas;2021;4,48;4,83;4,21;4,78;3,92;4,78;4,92;4,95;4,94;4,92;4,3;4,7
21;Barajas;2021;3,65;4,83;4,47;4,78;3,31;4,78;2,03;4,95;3,12;4,92;5,18;4,7
